,callsign,from_sector,to_sector,fl,fix,direction
0,UAL4337,SPRINGFIELD,BKGND,230,WISKY,Horizontal
2,KLM9994,SPRINGFIELD,BKGND,90,EGRR,Horizontal
3,AFR3731,SPRINGFIELD,BKGND,380,LEXIE,Horizontal
4,KLM4111,SPRINGFIELD,BKGND,270,AGNES,Horizontal
5,RYR1791,SPRINGFIELD,BKGND,400,LEXIE,Horizontal
6,GRINA,SPRINGFIELD,BKGND,180,LEXIE,Horizontal
7,UAL4337,BKGND,SPRINGFIELD,60,EGRR,Horizontal
8,AFR3731,BKGND,SPRINGFIELD,380,BOWNE,Horizontal
9,RYR1791,BKGND,SPRINGFIELD,330,TARRA,Horizontal
10,GRINA,BKGND,SPRINGFIELD,150,TARRA,Horizontal
11,KLM4111,BKGND,SPRINGFIELD,380,WISKY,Horizontal
12,KLM9994,BKGND,SPRINGFIELD,270,TABSY,Horizontal
